年月,2016/10/31,2016/9/30,2016/8/31,2016/7/29,2016/6/30,2016/5/31,2016/4/29,2016/3/31,2016/2/26,2016/1/30,2015/12/31,2015/11/30,2015/10/30,2015/9/30,2015/8/31,2015/7/31,2015/6/30,2015/5/29,2015/4/30,2015/3/31,2015/2/26,2015/1/30,2014/12/31,2014/11/28,2014/10/31,2014/9/30,2014/8/29,2014/7/31,2014/6/30,2014/5/30,2014/4/30,2014/3/31,2014/2/27,2014/1/27,2013/12/31,2013/11/29,2013/10/31,2013/9/30,2013/8/30,2013/7/31,2013/6/28,2013/5/31,2013/4/30,2013/3/29,2013/2/27,2013/1/31,2012/12/28,2012/11/30,2012/10/31,2012/9/28,2012/8/31,2012/7/31,2012/6/29,2012/5/31,2012/4/30,2012/3/30,2012/2/29,2012/1/31,2011/12/30,2011/11/30,2011/10/31,2011/9/30,2011/8/31,2011/7/29,2011/6/30,2011/5/31,2011/4/29,2011/3/31,2011/2/25,2011/1/28,2010/12/31,2010/11/30,2010/10/29,2010/9/30,2010/8/31,2010/7/30,2010/6/30,2010/5/31,2010/4/30,2010/3/31,2010/2/26,2010/1/29,2009/12/31,2009/11/30,2009/10/30,2009/9/30,2009/8/31,2009/7/31,2009/6/30,2009/5/27,2009/4/30,2009/3/31,2009/2/27,2009/1/21,2008/12/31,2008/11/28,2008/10/31,2008/9/30,2008/8/29,2008/7/31,2008/6/30,2008/5/30,2008/4/30,2008/3/31,2008/2/29,2008/1/31,2007/12/31,2007/11/30,2007/10/31,2007/9/29,2007/8/31,2007/7/31,2007/6/29,2007/5/31,2007/4/30,2007/3/30,2007/2/27,2007/1/31,2006/12/29,2006/11/30,2006/10/31,2006/9/29,2006/8/31,2006/7/31,2006/6/30,2006/5/30,2006/4/28,2006/3/31,2006/2/27,2006/1/25,2005/12/30,2005/11/30,2005/10/31,2005/9/30,2005/8/31,2005/7/29,2005/6/30,2005/5/31,2005/4/29,2005/3/31,2005/2/25,2005/1/31,2004/12/31,2004/11/30,2004/10/29,2004/9/30,2004/8/31,2004/7/30,2004/6/30,2004/5/31,2004/4/30,2004/3/31,2004/2/27,2004/1/30,2003/12/31,2003/11/28,2003/10/31,2003/9/30,2003/8/29,2003/7/31,2003/6/30,2003/5/30,2003/4/30,2003/3/31,2003/2/27,2003/1/28,2002/12/31,2002/11/29,2002/10/31,2002/9/30,2002/8/30,2002/7/31,2002/6/28,2002/5/31,2002/4/30,2002/3/29,2002/2/27,2002/1/31,2001/12/31,2001/11/30,2001/10/31,2001/9/28,2001/8/31,2001/7/31,2001/6/29,2001/5/31,2001/4/30,2001/3/30,2001/2/27,2001/1/31,2000/12/30,2000/11/30,2000/10/31,2000/9/30,2000/8/31,2000/7/31,2000/6/30,2000/5/31,2000/4/29,2000/3/31,2000/2/29,2000/1/31
1101 台泥,6.1712,-1.6551,6.9321,9.8977,6.6553,-8.6626,4.4446,4.9998,9.89,-0.0002,-7.3003,-18.6464,8.5456,-4.304,1.9006,-6.3415,-6.5948,-4.3576,-1.1341,2.6775,0.8215,-1.8435,-4.5104,-2.1529,2.5388,-4.6315,5.9086,4.448,1.3454,-6.8893,1.9149,-2.6915,9.0293,-4.216,-1.2806,9.5905,-0.1168,8.3543,7.7763,4.4505,-6.4639,0.6376,4.5333,-1.4454,-4.6365,2.5708,2.2339,1.6021,3.1679,11.5208,-6.7333,4.3017,4.7406,-3.1564,0.8682,-8.4768,2.3036,5.4288,7.5269,-14.0028,15.0456,-15.0969,-15.0221,11.1794,2.6379,-0.596,18.1687,20.7482,-6.2201,-4.4208,4.6252,-2.6137,-2.3951,13.4129,-1.1744,16.2379,-0.1827,-3.3569,-5.5091,1.1825,-0.8376,-12.2058,1.3413,-1.3237,-5.8171,1.1204,6.5007,10.6689,-7.647,7.5951,13.059,6.6794,17.2257,-17.0685,9.1093,45.7225,-9.1152,-40.0321,-20.8652,1.3314,-19.6077,3.0304,-15.9591,7.0907,31.5788,-7.1114,-4.357,-14.7643,4.3475,24.7641,6.3988,10.349,22.5079,4.5377,6.6308,0.9043,-1.9501,-4.2445,0.3407,11.8096,5.8467,12.9842,-1.8302,1.4709,-12.4999,8.8,0,2.0409,2.5105,1.919,11.9333,1.6991,-1.6705,12.2254,2.5253,0.7633,10.0841,-6.0526,3.8253,-9.406,0.4975,-3.8277,7.7319,7.1824,-3.7231,10.5884,20.1043,-1.6447,-0.6537,7.3686,-22.5544,-7.9999,8.6956,10.1797,10.5961,-11.6959,39.5915,-2.7779,7.5492,5.2403,-2.9662,18.0001,-19.6789,1.6326,-21.4743,49.2826,-0.0001,26.6667,10.7381,-26.9607,-11.3043,6.6363,9.9999,-9.0909,7.8429,27.5,-9.0909,2.924,22.143,-1.4085,-5.9603,-18.3785,19.3546,-18.1283,-9.3022,-15.3542,-15.894,-7.3619,-8.9384,16.9935,-6.135,-1.2121,-1.7857,-14.2858,-20.9678,10.6545,-12.5448,11.6,-27.1138,-20.4177,12.5327,18.2095
1102 亞泥,0.5477,-3.3509,0.8563,4.6594,12.2737,-13.5652,-2.2109,6.5215,5.143,-4.1972,-0.9041,-18.0742,4.8135,-1.6508,0.8658,-5.0684,-6.1696,0.2577,-1.3977,1.6794,1.5748,-2.3077,-1.7633,1.2755,0.9009,-5.244,4.2868,2.2005,4.7374,-1.6372,4.4736,-0.7832,2.681,-3.3678,-1.7812,-1.3803,6.5511,0.0002,5.9494,2.0326,-0.4048,-1.0683,2.7433,-1.4866,-1.4648,0.5355,-0.0002,2.6098,-1.7545,7.7034,-0.9729,1.6024,5.049,1.4225,-2.2252,-4.5154,6.0562,4.4118,5.1002,-11.3699,14.241,-16.4706,-7.7767,8.5366,3.6664,3.2637,15.8848,10.7205,-7.0095,-0.4654,6.7882,-4.2791,-0.9419,10.5903,-1.0873,11.6199,2.1579,-6.0811,-4.5163,5.4422,-2.9704,-12.4276,1.1697,-1.4409,-3.6111,2.5642,8.2787,0.286,-4.3716,7.3312,15.9865,12.6436,10.5932,-17.0475,5.3706,39.1753,-30.7143,-20.2279,-12.0417,-0.8792,-19.4691,3.102,0.9208,3.8239,14.1921,-3.3757,0.8508,-10.3054,-5.5854,19.8704,21.7518,-1.8476,17.344,6.0345,8.75,-4.9033,7.3365,1.1293,-3.276,18.0477,13.1252,9.8398,4.2398,-2.0574,0.2061,-2.8056,9.4299,5.8004,9.1138,1.5425,4.0104,5.0562,-3.7838,2.493,-1.1702,0.7228,2.9776,1.0025,-4.0866,-4.587,0.9259,-3.5715,5.6605,7.0707,-6.6038,7.6142,22.3087,-5.3193,2.174,6.3587,-21.7194,-6.7511,14.4928,14.3645,9.0361,-5.6818,23.077,-7.1428,11.3428,10.8528,-3.0074,20.3621,-18.75,11.4755,-26.0605,24.9997,1.9305,14.6017,23.4972,-19.3832,-21.1805,16.757,4.1668,-4.7619,24.1378,14.6892,-5.3476,-12.2066,12.6987,5.5868,-15.1659,-7.8602,18.0413,-1.5218,-7.1749,-14.8855,-11.4865,-10.8434,-8.2873,-1.0928,8.9288,1.2046,19.4245,-17.7514,-16.1666,13.0001,-13.7934,3.5714,-20.0001,-14.6341,8.9701,9.0582
1103 嘉泥,-0.8891,-0.3323,2.3708,6.8264,-0.1196,-8.833,-2.8603,1.1791,3.0938,-4.937,-3.6435,-8.5184,7.4627,6.3599,-9.9074,-10.3734,-10.4089,-5.2815,2.8987,1.4708,-2.1583,-1.7668,1.0714,-2.4389,-3.3669,-3.2573,0.6556,1.9225,0.9494,-0.3154,-0.3145,1.9232,0.6451,-1.274,0.9648,3.6668,3.4484,5.8393,-3.8596,0.0002,-0.697,10.3848,-1.1407,-5.7348,0.3598,0.3609,3.7455,1.521,-10.5441,10.5263,2.5812,0,2.6516,-1.4923,-1.4704,-2.8573,9.8039,7.5949,-7.422,-14.0941,-2.295,-14.8046,-4.7873,8.6237,1.972,-1.3891,7.1427,5.6603,-5.357,-2.3254,8.8609,1.9354,2.3102,0.331,1.3336,10.7914,4.5113,-12.2111,-3.1947,7.1916,-7.5951,-12.7072,6.4706,1.1905,-0.5915,11.5508,-10.6194,12.2515,-19.2512,11.9761,23.7039,17.9041,0.4386,-10.588,-5.904,32.8432,-20.9302,-37.3786,5.9072,-1.1544,-16.7306,-14.0496,10.2003,9.8,23.1529,-6.0186,-20.734,-12.8,-4.5802,27.4318,-6.0329,14.9159,23.9583,-0.5183,-3.0152,1.531,1.818,-10.0469,-4.0358,18.3025,5.014,9.4514,-0.6059,-4.3481,-6.2502,7.6022,29.5455,5.6,0.0001,-3.1006,-6.1816,-2.4823,0.3561,-3.7672,8.5498,8.0321,8.2607,0.8773,-15.5556,-5.2633,2.5179,-10.3227,6.8964,2.8371,-14.5455,-1.1974,11.3335,-8.5366,4.4585,13.3574,-25.1351,-13.1457,3.3981,3.0001,-0.4976,-1.9513,32.2582,-7.738,1.2048,12.925,2.0834,27.4338,-20.9791,-0.6943,-6.4935,5.1193,13.566,7.5,33.3331,-22.4139,-9.3752,18.5184,-0.9173,19.7801,5.8139,17.8081,-2.0134,0.6754,19.3549,-0.8001,2.4591,-8.2706,8.1299,-10.2191,3.0075,-8.276,-3.9737,-6.7902,5.1949,10.0002,7.6923,-2.9852,-3.5971,-4.1382,-28.5715,12.7777,-4.7619,3.8461,-14.554,-8.9743,2.6315,15.7359
1104 環泥,0.0001,1.4461,12.8206,3.6336,9.2269,-2.9055,-7.6063,6.9377,1.7031,-8.6666,-2.5973,0.6537,11.408,-2.1379,-11.5546,-6.3896,-6.9086,-11.603,11.0168,11.1112,-1.6666,4.6511,-3.3708,-0.1869,0.3752,-9.3538,0.5128,8.3694,-2.0688,0.346,-5.401,2.3448,4.0069,1.5928,-0.8769,5.5554,5.8823,29.4417,13.2184,6.6637,-5.2778,-0.8265,1.6807,-0.2793,5.2939,6.25,7.0235,7.1684,-5.7431,11.6979,-1.1194,7.9656,-2.2556,-2.9195,-4.5296,-4.0132,11.1525,1.1277,-3.6233,-8.6093,4.8612,-5.5737,-14.3258,3.1465,-1.0868,-2.6455,0.7999,6.2324,-6.366,1.8921,2.778,-6.2501,11.9533,7.1871,4.2347,16.074,-3.1805,-9.2948,-3.9998,5.8632,-5.5384,-7.1428,1.7439,9.9044,-2.1876,4.918,-7.5758,10.7386,-12.61,25.3675,3.8168,10.5485,2.1552,-9.0197,-8.6022,-16.2162,6.051,-23.9709,-4.8388,-7.9136,34.3006,-8.0097,-13.4454,51.5922,27.6423,-1.992,-11.6195,-10.41,-11.2044,11.2149,-5.5884,19.1081,23.1373,-1.1627,3.6144,-1.1906,2.4391,-8.209,-0.7408,5.0583,15.2466,9.8523,-0.0002,0.1467,0.4465,-0.4445,12.9517,-0.8955,-1.4705,-3.7738,4.4334,-0.4904,-10.5264,-1.7241,7.9071,1.1228,5.8295,-3.8793,-7.9365,0.3983,-0.3969,-2.7028,8.3682,0.8441,-6.693,5.8333,16.5046,-4.2656,-2.4293,-2.756,-11.8055,-5.2633,1.3334,9.89,3.8023,-5.0542,23.6607,1.8183,17.7,9.8902,1.6759,20.9459,-16.3841,-1.1172,-14.7619,26.5063,2.4693,8.7249,0.6758,-8.6421,-14.2858,15.9507,18.116,-6.1225,-13.5295,20.5675,22.6088,0,14.9999,-15.2542,-8.5274,4.8782,43.3567,-1.3793,-4.9389,-17.1681,-8.13,-2.3809,1.6129,-5.3435,24.762,-9.4828,11.5386,-14.0495,-22.4361,4.698,-13.7316,-1.0988,-10.3449,-5.1403,-5.3096,18.9476
1108 幸福,-1.7315,-0.8585,-0.6398,1.1634,-0.0001,-0.4926,-0.9756,4.0609,2.4974,-4.8514,1.0001,-2.439,-0.0001,-2.8436,5.5,-0.1647,-6.1946,1.8018,0.9093,7.8431,0.4926,-1.4565,0.9804,1.4926,0.5001,6.1569,8.5254,1.096,-2.2727,6.207,-6.3508,2.088,12.4844,-3.5756,0.0002,3.9652,2.6717,0.5113,-2.2499,11.1112,-1.5046,5.1799,-4.1378,1.1158,6.2223,1.0481,5.5293,2.4273,-3.4378,2.4002,-3.8461,7.0841,0.6634,1.1746,0,0.3366,11.8644,0,-3.4545,-10.4235,-1.1273,-7.7266,-6.2675,-0.139,-7.5835,2.9102,1.7497,3.0511,-7.3266,-1.7676,4.0737,1.3314,-0.5298,1.9843,-1.175,8.0398,0.2828,-13.0382,-0.0001,9.1275,-5.9345,-11.5084,9.1465,0.2445,-2.0361,-2.3389,3.6364,16.5256,-13.1287,16.4285,13.6366,20.0779,-3.2076,-11.6668,4.5296,-5.2805,1.8488,-23.4413,-15.0056,-2.156,-18.8334,2.1276,-8.2032,17.4312,34.7344,-8.4844,-2.3204,-24.8964,-9.3986,4.3139,-12.1186,1.3467,6.4515,4.1046,44.0861,-3.2258,-1.9388,-3.9215,4.0815,11.3636,2.4446,10.2693,2.8384,-1.474,-4.0094,11.4322,10.6102,-2.4114,-1.2604,0.8476,0.8546,0.2857,-14.005,15.1344,-1.669,-4.7337,10.0839,-3.252,-5.1411,-14.0332,-0.0001,-4.737,7.345,-2.7471,-9.9011,4.1237,12.8976,-6.4172,-12.2065,-6.579,15.7363,-7.0755,5.4726,12.9213,43.5485,-10.1449,36.634,2.2,1.4054,4.6221,3.0304,18.7659,-17.2342,-5.9998,-24.2423,26.9234,5.9062,15.5295,4.9382,-18.5109,-12.8072,7.5472,7.2875,-17.6665,-6.9768,25.2426,28.4291,25.7054,31.8179,-8.3332,-7.3685,-15.1785,12.7516,-3.5596,-3.7383,-19.3466,-17.2557,-10.9259,2.8574,32.5758,5.0398,-15.8482,-20,-23.6365,-6.0977,1.2345,-10.0001,-4.255,-7.8431,-13.5592,1.2874,16.4998
1109 信大,-2.4389,-4.2055,5.4186,3.5198,-0.4975,0.5,0.7049,-0.7,2.2496,-2.6865,0.5001,-2.9124,1.1822,-0.0002,-9.3752,-6.6341,-10.294,-2.1584,-0.0001,1.091,0.7326,2.247,-0.373,1.132,-7.6657,1.4134,-0.3522,-4.6438,12.9373,0.0001,11.2839,5.7612,2.9659,-1.2552,3.913,3.6035,5.2132,1.4424,0.4831,1.1922,-0.0001,1.923,-0.4785,0.0001,0,-1.8779,0.948,0.4761,0.4786,-0.4762,1.4494,3.3981,-0.9569,-2.3364,0.0001,-1.3825,4.8313,-1.8958,1.9323,-4.1667,5.3658,-1.9139,-8.3334,6.2622,0.9174,2.3477,2.8985,5.7201,-4.0195,-0.4879,2.7053,-0.1999,1.1123,2.9136,-2.4366,5.3535,0.207,-3.781,-0.9851,4.9639,-3.7811,-4.2857,4.4776,0.4999,-1.9609,0.99,5.87,3.221,-7.4512,7.1428,7.6924,-2.5357,15.1016,-1.6229,0.7548,5.8588,-3.0969,-20.5944,-3.3662,-1.5295,-17.3078,2.3622,-3.0534,12.9312,12.6214,-5.0692,-1.3638,-7.1729,-7.4219,9.4014,-7.1427,2.8124,8.4748,-2.4792,3.4188,-4.0983,0.8263,-6.923,-0.3832,14.978,8.0951,3.4484,0.4951,-0.4463,-3.1819,14.8227,6.2088,0.2222,-1.0988,-0.3284,1.5574,0.4471,0.3363,-0.8887,-0.6621,0.3855,4.386,-1.5117,-6.1803,-7.324,-0.9303,0.4674,7.5375,-0.4997,-3.846,6.6668,9.1576,-1.0753,-3.7744,-0.4974,-10.2679,-1.3217,-1.7316,19.0722,7.7779,-15.888,34.5914,-3.0487,1.2346,-1.2196,-0.0692,9.4336,-6.4705,-2.857,-13.793,9.7298,2.2101,4.0229,-3.8675,-6.2176,0.5207,2.0892,2.7028,-9.3137,5.1546,4.8649,-1.0694,-7.8817,8.5561,-3.6082,-3.9603,-3.8095,8.8083,-6.7634,-1.8299,-0.9131,-4.7827,-1.2877,-4.5082,10.909,-12.6985,-1.1767,43.2586,-9.6446,-16.8775,0.8512,-5.7828,7.3771,-12.5448,-0.3568,-5.0847,18.9513
1110 東泥,-2.5807,0.9773,0.3269,1.9824,-2.5642,0,2.9702,4.844,2.1201,-10.4429,5.6856,-0.9934,0,16.1539,-9.0909,-3.9547,-1.3072,-12.8206,5.09,0.3003,0.3012,-2.3529,6.2499,2.2363,-6.5673,1.2085,0.9146,5.7604,-0.633,-1.25,-5.8825,-0.0003,0.8901,-3.7144,1.4494,1.4705,8.6259,4.3333,-3.5369,1.9695,0.3269,6.2501,5.4947,2.247,-2.5548,-2.837,8.4617,1.9607,-4.8507,3.0771,9.2439,1.7243,-1.2552,-0.4166,4.3479,1.3214,8.0952,3.9606,3.272,-8.1689,4.926,-8.9686,-10.8002,4.1389,-4.7245,-0.3922,-10.2113,24.5611,-8.4338,-7.4348,8.9068,1.2296,-2.7888,5.9071,-1.2499,12.0405,1.8692,-9.7044,3.4934,10.0961,-5.4545,-3.0837,2.7149,-1.7781,-3.4339,4.955,-5.932,3.0567,-10.5469,42.857,5.7851,9.1495,-12.0181,-4.1306,15,1.3943,1.0243,-28.3486,2.8303,-0.4863,-26.3333,-13.0435,22.7759,-0.7067,31.0187,-6.4932,2.2123,-6.9959,-10.0001,3.0534,-0.0002,10.8808,11.0599,-3.9823,9.1784,1.9704,3.5714,-19.3417,24.1064,23.7674,17.1855,0.897,-1.4726,1.5823,-1.6393,4.5715,14.9423,-3.3332,-0.474,-1.8606,10.2561,6.3636,-11.433,-2.3585,-5.0745,-0.8238,12.7009,-8.2597,-12.5161,-6.0606,-2.9412,-5.5556,12.4998,1.2658,-9.1954,2.3528,7.5301,-4.5977,-5.4349,4.5454,-14.1463,-10.0878,17.5259,15.4763,13.5136,-9.7563,22.3881,1.515,-1.4926,-2.1898,7.4628,13.2231,-10.3704,12.5002,-26.8292,26.1539,20.3703,3.8462,5.0505,-1.9801,-10.6193,-5.0419,5.3098,-12.4031,11.2067,11.5385,-1.8867,-10.9245,29.0674,3.1319,-0.8868,-12.4271,12.9385,-1.9355,-1.0638,-5.9999,-12.2808,-8.7999,0.8063,8.772,7.5472,-20.8954,24.0738,-21.7389,-13.2209,3.1645,-6.8928,2.3395,-16.1764,-4.673,-5.3096,12.9999
1201 味全,0.5617,-7.5324,-3.99,-4.9764,3.9408,1.7543,0.7577,8.1966,1.105,3.4285,-4.6323,-5.4124,0.5184,-1.0256,-9.3023,12.2716,-12.557,-8.9398,-3.992,-0.9882,-2.3166,3.6001,-11.6607,11.8577,-29.8198,-18.068,-8.8083,8.3329,0.2222,0.3345,-2.2877,-6.2307,1.873,-8.3014,8.2644,-13.1061,-3.4663,0.8739,3.0633,10.1635,-3.5986,14.7827,2.6786,1.8182,7.1863,13.5548,4.0285,11.7366,-11.8978,12.2417,1.1256,5.3547,-7.5268,1.8782,-2.7398,-6.5433,5.2395,3.5658,3.8647,-7.9999,18.8382,-17.5853,-8.3552,17.6653,0.1536,-2.9853,2.4464,1.082,-7.1736,-8.7694,12.3529,-2.5788,-6.8091,14.526,-11.6216,-1.6996,11.5162,-6.5394,-0.9446,14.8839,-5.7017,-21.5597,-3.7528,5.8411,1.7835,7.4072,-3.2139,11.2792,10.4862,22.305,22.831,21.3294,-13.2212,-5.4545,10.8313,26.837,-7.3962,-16.7487,7.6923,13.5541,-21.14,-5.8166,6.6824,-0.475,24.5561,-8.4012,0.2718,-14.8147,-16.1165,7.5156,-10.9667,-2.7125,7.5876,-4.991,15.1061,-9.6153,8.3332,3.6717,22.8116,29.5533,9.3987,18.7499,-1.7544,-10.2364,6.7225,15.534,23.7981,-6.095,-2.6374,-2.6739,-4.5917,11.7446,-4.6739,-8.9111,-1.4636,-5.0926,12.735,0.5247,-7.0244,-10.8695,-3.3613,-3.2521,13.8888,-0.4609,-4.4052,-0.8732,-2.137,-1.2659,-16.5494,-1.045,6.6912,-2.888,4.9243,37.5002,2.674,-0.5319,11.2426,-6.1112,-7.2165,7.7781,9.7563,9.3335,-21.0525,-14.4144,-20.1437,34.9517,0.9804,51.1109,11.5705,-14.1844,-9.6152,6.8492,-10.4292,-4.1178,24.9999,13.3333,-4.7619,-2.3256,33.2646,2.9787,-18.9655,-21.6215,2.069,-20.3298,2.2472,-18.7216,-20.3636,32.2117,28.3948,7.2845,-1.3075,-0.0002,-13.5592,-5.851,2.1738,1.6573,-16.2036,-11.111,-16.207,2.4733,0.7118,72.3928
1203 味王,0.2278,2.8211,2.5228,0.4609,-0.2299,1.1625,-0.2319,-3.3633,-1.3273,-1.3101,0.4385,6.0464,8.0402,3.3373,-7.5341,-4.7826,-1.2874,-2.9168,0.8405,0.8478,-0.2115,-0.6303,3.9304,2.2322,-5.4853,-3.0439,0.792,13.2289,1.8266,-5.1952,-2.941,-3.0549,-0.2032,-1.2049,-1.1904,1.6133,9.9779,0.2224,-2.1167,8.372,0.0001,5.9113,-0.4901,-0.4877,0.737,1.2437,1.5151,2.5906,-13.453,10.7468,0.7336,5.1414,-2.2614,-6.7915,-0.6977,2.1378,4.7263,2.8135,-0.7614,-10.2506,6.2954,-6.9681,-6.9672,5.8566,0.655,-1.5053,3.1044,-2.5917,-4.3387,-1.2246,3.5941,-2.0703,-0.4123,7.4253,-6.1454,7.4,8.6955,-8.73,-5.2632,11.2969,-2.0493,-5.2427,2.1825,1.4086,-2.3573,5.1332,0.5824,0.586,11.7903,26.5194,29.2857,18.1433,-4.0487,2.9167,0.4184,15.459,-8.8106,-37.6374,-0.5464,-2.1391,-19.2224,-9.3932,-0.5836,1.5811,27.1356,-1.7284,0.2475,-23.0478,-2.0523,15.7669,-17.4687,74.2235,5.5738,8.9285,1.4492,-6.7567,0.6803,-5.1614,14.8146,15.8798,3.0971,4.6295,-5.2632,-3.39,12.9186,-5.8557,-1.3334,0.4466,3.2258,8.936,1.1166,7.0651,2.4501,7.1597,-6.7855,-1.2089,10.3033,-6.7796,-12.8079,-10.5726,-1.3042,-1.7094,10.9004,-3.6529,-7.2033,11.8484,-4.5248,3.2708,-10.8335,-2.4389,-21.154,-2.5,7.3827,31.8582,7.619,-3.6695,27.4852,-8.0646,-10.577,23.8097,9.8038,28.5713,-18.4932,-2.6668,-7.4073,8.7246,-6.2893,15.2177,2.9852,-3.5971,-18.7133,246.1538,,,,,,,,,-21.5872,-7.6246,4.2815,-32.5774,-13.3928,-17.647,0,-10.5265,4.1095,8.1481,-10.5961,-3.2049,-9.3024,3.6144,-39.4161,-12.7389,24.6034,-23.6363,-8.8399,17.5325,10.7914,24.1075
1210 大成,6.0884,0.5567,2.1757,-8.1494,14.1471,17.8083,5.2885,-6.0946,11.3065,-3.8648,6.4264,-1.2691,8.8398,5.5395,-13.9673,-2.9885,-8.2278,-5.2001,-4.762,-4.5456,-1.61,1.4519,2.6072,-2.5409,-7.0826,-2.4672,13.5919,-1.7882,19.5725,-2.7199,3.8205,15.1055,-0.1908,-0.7574,-0.7518,0.5672,3.3199,0.3921,-1.0582,5.2633,-1.7239,5.4544,-5.5343,-2.2389,-0.7407,1.504,2.7028,3.6001,-7.919,0.5555,0.324,5.1878,-2.4433,0,-5.1323,-7.0769,10.5439,5.3763,-0.3573,-9.385,10.357,-11.3927,-9.9768,15.6064,-0.3021,-6.8917,13.2168,9.5987,-8.758,-0.6328,1.2823,-2.8035,3.2155,7.4265,-1.7097,14.26,7.0611,-17.0888,-3.2159,4.6472,-4.4409,-7.2444,-0.0001,2.7737,-0.2912,4.0907,1.0929,2.3089,-1.2819,2.0349,33.0755,6.1601,2.5264,-5.7541,0.1988,24.1976,-29.565,-17.9742,-13.8919,-0.7813,4.186,6.5675,0.7492,-2.0784,25.8461,-9.7222,19.9999,-27.0959,-21.0174,10.8513,17.5272,22.9559,15.5888,11.6665,10.2041,-5.0387,6.1729,22.1106,9.9447,13.1249,17.2162,6.2257,2.397,0,7.5097,-0.3935,14.9324,2.7907,-0.9219,1.4017,5.9406,0.4976,-12.987,16.6667,-1.7568,4.2084,9.6702,7.0586,1.6745,-2.7908,7.4999,-4.1915,5.0314,1.274,-0.6328,-1.25,1.7483,-1.7752,-2.8735,-2.2472,-6.3159,-6.8627,12.7073,1.6853,1.1362,-1.6759,10.4938,-0.6136,-4.1177,3.4148,1.1626,2.381,-14.7207,-6.635,-4.955,8.2929,-0.0001,5.1281,13.3722,-11.7949,-6.6988,6.965,-6.1404,7.0423,3.398,7.2916,3.2258,1.6395,10.9092,1.227,0.6172,-15.6249,8.4834,-12.6127,15.6251,-5.8824,-16.3936,13.4884,19.4445,-0.0001,0.5587,-10.0503,6.7559,1.0363,-14.6018,11.7495,-11.1571,6.1404,-5.785,0.415,-5.8593,23.0769
1213 大飲,5.9998,-6.2501,-6.7055,-0.9712,-10.1415,21.8391,-5.1769,13.9753,6.9767,-0.66,-2.258,-2.2083,7.0945,0.339,-21.1231,-11.5839,-2.0833,-2.4832,1.1416,4.5346,-0.7108,-0.7058,5.1979,7.162,-0.7896,-6.1728,-10.5962,-3.6171,8.0458,1.3987,-4.4542,-1.5349,6.0465,1.4153,12.1692,-4.5456,1.2789,-1.7586,-9.5453,-2.0045,-8.3672,2.0834,-1.2345,8.9685,6.9544,2.2058,9.383,6.8768,-17.6886,-2.975,-16.9202,1.7409,0.7797,3.0122,-1.1905,-1.9456,37.0667,1.9022,3.3709,-15.238,20.6899,-25.4819,-23.5679,6.818,-0.8664,11.1755,-5.6365,14.5832,-6.4327,-3.2074,-1.1193,26.7138,-14.1986,6.25,-29.8035,182.4793,-0.8474,2.6086,-2.5424,27.0184,-2.3134,-3.4518,7.886,1.2194,2.1519,6.6428,-9.804,6.6202,-9.5591,3.0302,7.4419,16.3735,12.1395,-6.7892,15.9018,-9.6295,-10.4774,-15.8482,-3.1351,-3.6457,-21.6327,-0.4066,4.2372,2.6088,25.9583,-13.4596,-7.8602,-10.5469,-7.9136,7.7519,-18.8679,6.3543,4.5453,2.1429,6.464,-8.3624,-3.0405,16.0785,-6.2499,-6.5293,29.9108,-1.5383,0.7381,-1.8116,-9.2105,-5.8824,96.7116,-1.4405,1.2151,-4.3024,1.4151,5.4725,-14.2858,-6.6666,-0.9852,1.4998,-0.4975,-6.0748,-5.3097,4.6295,-4.4248,-3.4189,-1.2659,3.0435,0.8772,-5.0001,1.2658,-3.6587,-1.5999,-3.8462,0.0001,-2.9849,0.3744,14.1026,2.6316,-2.1459,0.4309,0.8697,-7.2581,7.8262,4.5453,-0.0001,-5.9828,-6.7728,-15.4881,21.7214,7.4889,0.4424,-4.2372,-30.5882,49.5998,5.932,5.3569,0.0001,7.6924,15.5555,-1.0989,-17.2726,-2.6547,-3.419,3.5398,-8.1301,3.3613,3.9303,-0.4347,-0.8622,1.3098,-10.895,52.9764,7.0064,-5.988,-1.7647,11.8421,-4.4024,-34.8362,-10.2941,-2.8573,-2.098,-15.8822,-5.0279,4.0696,19.4446
